project_id,state,constituency_type,project_category,estimated_cost,sanctioned_amount,expected_duration_days,elapsed_days,progress_pct,contractor_id,contractor_past_delays,monsoon_overlap_days,material_inflation_index,labor_shortage_index,terrain_difficulty,sanction_year,actual_final_cost,actual_delay_days
MPLADS-0976,Nagaland,LOK_SABHA,Community Halls,28081275.01,26898530.82,520,756,64.19,CTR-050,12,48,1.1244,0.298,HILLY,2024,38601983.51,128.96
MPLADS-0977,Chhattisgarh,RAJYA_SABHA,Roads,17108237.09,17548082.89,531,658,100.0,CTR-024,14,62,1.0349,0.2311,HILLY,2023,23927746.76,121.46
MPLADS-0978,Odisha,RAJYA_SABHA,Sports Infrastructure,11456339.64,11746525.15,453,570,100.0,CTR-045,1,71,1.234,0.3362,PLAIN,2025,16214206.41,59.36
MPLADS-0979,Meghalaya,LOK_SABHA,Bridges,27018514.03,21959362.94,520,520,100.0,CTR-115,8,102,1.0065,0.9408,HILLY,2024,29069303.9,128.08
MPLADS-0980,Haryana,LOK_SABHA,Bridges,18456714.31,17089942.97,190,6,0.0,CTR-164,6,40,1.2919,0.2412,PLAIN,2025,25418644.91,48.69
MPLADS-0981,Tripura,LOK_SABHA,Education,13845130.58,13575285.52,362,251,63.56,CTR-175,11,46,1.3333,0.1075,PLAIN,2025,22037501.53,81.89
MPLADS-0982,Gujarat,LOK_SABHA,Education,42302459.09,34239455.52,362,488,100.0,CTR-023,2,48,0.9583,0.6519,DESERT,2023,39498629.52,55.72
MPLADS-0983,Tamil Nadu,RAJYA_SABHA,Sanitation,2581349.18,2107976.42,244,263,100.0,CTR-032,3,11,1.344,0.5584,PLAIN,2024,3375892.76,39.72
MPLADS-0984,Maharashtra,LOK_SABHA,Drinking Water,42427221.18,37015327.54,516,91,26.55,CTR-053,5,86,1.1764,0.4755,PLAIN,2023,49372283.45,77.83
MPLADS-0985,Dadra and Nagar Haveli and Daman and Diu,RAJYA_SABHA,Drinking Water,3641511.54,3292510.59,251,56,41.68,CTR-097,3,54,1.0456,0.5673,PLAIN,2024,3801503.67,49.41
MPLADS-0986,West Bengal,LOK_SABHA,Bridges,29485151.83,27252739.18,527,213,38.93,CTR-167,5,71,1.1417,0.0483,PLAIN,2023,35291340.19,62.09
MPLADS-0987,Goa,LOK_SABHA,Electrification,43440992.28,38773599.38,270,22,13.57,CTR-004,7,44,0.9641,0.1772,COASTAL,2024,42760797.98,62.94
MPLADS-0988,Uttarakhand,RAJYA_SABHA,Community Halls,15425161.25,15210447.47,248,52,17.93,CTR-052,3,65,1.1437,0.5399,HILLY,2025,22553506.99,94.96
MPLADS-0989,Assam,LOK_SABHA,Roads,7467181.34,7675965.96,97,126,82.49,CTR-192,10,0,1.3375,0.7693,HILLY,2024,14208860.24,104.21
MPLADS-0990,Chhattisgarh,LOK_SABHA,Bridges,41359333.55,42839651.92,361,21,2.78,CTR-158,8,67,1.2677,0.4966,DESERT,2025,68818066.44,82.71
MPLADS-0991,Delhi,LOK_SABHA,Sports Infrastructure,26536152.65,26592247.21,412,101,18.58,CTR-161,15,38,0.9751,0.6241,DESERT,2025,32951164.2,116.85
MPLADS-0992,Tamil Nadu,LOK_SABHA,Bridges,39483146.76,32715386.88,218,88,51.01,CTR-181,15,14,0.9805,0.7754,PLAIN,2025,35266607.92,93.3
MPLADS-0993,Kerala,LOK_SABHA,Bridges,6016999.5,6072093.78,98,9,1.94,CTR-139,5,19,1.2034,0.5341,HILLY,2023,9806931.82,81.2
MPLADS-0994,Odisha,LOK_SABHA,Healthcare,15329439.9,15818174.22,267,400,100.0,CTR-070,7,61,1.2355,0.5937,PLAIN,2024,23202584.46,70.52
MPLADS-0995,Telangana,LOK_SABHA,Drinking Water,44508108.04,42223316.96,106,83,84.76,CTR-172,1,28,1.129,1.0,DESERT,2024,59030561.05,69.55
MPLADS-0996,Mizoram,LOK_SABHA,Education,31625621.27,29312787.81,508,118,14.27,CTR-149,13,51,1.2938,1.0,HILLY,2023,53570749.43,140.82
MPLADS-0997,Kerala,LOK_SABHA,Healthcare,9590304.77,9998853.97,142,60,28.14,CTR-182,2,0,1.0787,0.9062,PLAIN,2023,11896543.3,37.31
MPLADS-0998,Jharkhand,RAJYA_SABHA,Drinking Water,23269047.53,22542781.1,499,219,42.21,CTR-006,13,66,1.004,0.8526,PLAIN,2023,28035213.39,129.95
MPLADS-0999,Rajasthan,RAJYA_SABHA,Community Halls,47158550.9,49477468.82,392,5,9.91,CTR-112,12,33,1.0453,0.3006,PLAIN,2024,58749094.82,81.6
MPLADS-1000,Haryana,LOK_SABHA,Sanitation,35066776.62,35299934.24,116,158,100.0,CTR-011,8,0,1.1932,0.7084,DESERT,2023,52919771.21,97.4
MPLADS-1001,Assam,LOK_SABHA,Sports Infrastructure,31534347.29,32244314.45,397,229,57.07,CTR-181,15,91,1.2645,0.4492,PLAIN,2025,50012253.93,78.85
MPLADS-1002,Jharkhand,RAJYA_SABHA,Healthcare,18395595.84,15444360.29,133,138,100.0,CTR-049,10,0,1.2614,0.8619,PLAIN,2023,23467804.4,82.81
MPLADS-1003,Rajasthan,LOK_SABHA,Bridges,36929972.89,38485448.47,444,206,41.37,CTR-171,1,36,1.2203,0.6118,DESERT,2023,59229536.54,52.96
MPLADS-1004,Punjab,LOK_SABHA,Education,29290596.04,26088861.78,96,136,99.13,CTR-028,13,0,1.3087,0.7359,PLAIN,2023,41974901.23,66.95
MPLADS-1005,Rajasthan,RAJYA_SABHA,Bridges,42117748.82,37157022.46,328,95,24.73,CTR-170,0,26,1.0106,0.9604,PLAIN,2024,42156265.31,49.61
MPLADS-1006,Chandigarh,RAJYA_SABHA,Drinking Water,19780418.14,20740108.08,107,94,75.26,CTR-043,11,35,1.1527,0.4645,COASTAL,2023,29247681.89,65.04
MPLADS-1007,Punjab,LOK_SABHA,Sanitation,35029548.53,36757058.37,536,77,11.84,CTR-166,13,42,1.2464,0.8632,HILLY,2024,63596383.32,139.87
MPLADS-1008,Andaman and Nicobar Islands,LOK_SABHA,Sanitation,47067451.28,43443633.05,468,54,0.0,CTR-155,6,46,0.9844,0.376,COASTAL,2025,48907885.43,61.81
MPLADS-1009,Karnataka,LOK_SABHA,Sanitation,21856590.31,19480207.85,120,98,100.0,CTR-158,8,80,1.1695,0.6372,PLAIN,2023,26923427.25,87.47
MPLADS-1010,Puducherry,LOK_SABHA,Education,43736801.5,38169197.24,149,62,21.32,CTR-085,10,26,1.3004,0.6951,DESERT,2024,65449009.32,111.02
MPLADS-1011,Puducherry,RAJYA_SABHA,Roads,17306517.25,16159741.63,253,122,36.59,CTR-134,8,45,1.1618,1.0,HILLY,2025,24517321.63,138.58
MPLADS-1012,Odisha,LOK_SABHA,Bridges,18800773.67,19464545.45,431,413,93.86,CTR-030,7,74,1.0816,0.3256,PLAIN,2023,23902844.1,87.33
MPLADS-1013,Uttarakhand,LOK_SABHA,Healthcare,49697499.83,39892718.38,360,287,74.46,CTR-086,11,66,1.2499,0.7156,HILLY,2023,66806539.65,107.23
MPLADS-1014,Delhi,RAJYA_SABHA,Community Halls,43187676.62,41743076.31,174,142,85.51,CTR-033,1,43,1.1688,0.6099,PLAIN,2024,55647658.05,43.05
MPLADS-1015,Rajasthan,LOK_SABHA,Electrification,38931997.32,31909236.43,204,125,64.44,CTR-179,14,7,1.0559,0.6648,DESERT,2025,41596352.33,82.39
MPLADS-1016,Rajasthan,LOK_SABHA,Other Public Assets,41594318.53,41840761.63,391,157,42.49,CTR-051,12,33,1.3461,0.3787,DESERT,2024,72970630.73,103.44
MPLADS-1017,Lakshadweep,LOK_SABHA,Bridges,31230633.02,29719611.6,272,131,54.02,CTR-056,0,31,1.3089,0.2503,COASTAL,2023,46341984.61,47.59
MPLADS-1018,Jammu and Kashmir,LOK_SABHA,Electrification,45425210.61,45057857.59,125,167,83.49,CTR-120,1,0,1.0877,0.9852,HILLY,2025,61643080.93,68.7
MPLADS-1019,Uttar Pradesh,LOK_SABHA,Education,34130610.24,32143332.11,193,258,98.79,CTR-030,7,30,1.0145,0.7034,DESERT,2024,39682499.4,107.59
MPLADS-1020,Uttar Pradesh,LOK_SABHA,Other Public Assets,9086800.51,8807942.24,525,714,92.49,CTR-162,10,65,1.22,1.0,DESERT,2023,14121482.57,121.18
MPLADS-1021,Andaman and Nicobar Islands,RAJYA_SABHA,Bridges,18802213.87,15547374.35,231,57,44.96,CTR-121,7,39,1.3073,0.9543,COASTAL,2025,26025289.67,85.4
MPLADS-1022,Tamil Nadu,LOK_SABHA,Sports Infrastructure,19204150.51,19321382.2,308,315,100.0,CTR-191,10,33,1.0061,0.064,PLAIN,2024,21395883.59,45.45
MPLADS-1023,Ladakh,LOK_SABHA,Education,17156078.92,14630957.29,243,180,98.01,CTR-008,11,11,1.2352,0.4157,HILLY,2025,24323368.92,95.4
MPLADS-1024,Dadra and Nagar Haveli and Daman and Diu,LOK_SABHA,Drinking Water,29976969.5,25810839.57,436,28,27.36,CTR-036,1,51,0.956,0.5333,PLAIN,2025,25703514.81,27.52
MPLADS-1025,Tamil Nadu,LOK_SABHA,Electrification,36196922.94,33163805.79,502,597,97.39,CTR-025,12,47,1.1885,0.0051,COASTAL,2023,48706962.64,73.89
MPLADS-1026,Dadra and Nagar Haveli and Daman and Diu,LOK_SABHA,Drinking Water,40667595.77,42168195.23,330,232,65.42,CTR-197,5,52,1.1846,1.0,HILLY,2025,66238183.61,114.33
MPLADS-1027,Maharashtra,RAJYA_SABHA,Roads,3587021.14,3111114.38,358,485,95.3,CTR-159,8,80,1.1597,0.3124,DESERT,2025,4674298.3,103.02
MPLADS-1028,Nagaland,LOK_SABHA,Other Public Assets,49399928.86,49352653.26,402,57,45.48,CTR-070,7,55,1.1511,0.5736,HILLY,2024,74810745.95,111.78
MPLADS-1029,Dadra and Nagar Haveli and Daman and Diu,LOK_SABHA,Electrification,33344308.09,34263997.22,290,340,100.0,CTR-095,14,52,1.246,0.2316,COASTAL,2024,53499345.21,105.53
MPLADS-1030,Assam,LOK_SABHA,Electrification,22328532.35,22614525.0,478,232,32.29,CTR-081,15,92,1.1142,0.7499,COASTAL,2024,32806659.02,180.34
MPLADS-1031,Andhra Pradesh,LOK_SABHA,Bridges,37664778.23,31988644.48,403,263,62.37,CTR-125,13,68,1.1292,0.5395,PLAIN,2024,42396962.45,82.32
MPLADS-1032,Manipur,LOK_SABHA,Roads,36126035.49,29747985.17,333,465,89.57,CTR-141,15,48,1.0149,0.3888,HILLY,2024,39473481.56,109.8
MPLADS-1033,Puducherry,LOK_SABHA,Sanitation,25451431.03,22974781.6,452,492,89.99,CTR-071,12,48,1.344,0.4356,PLAIN,2025,37498826.22,113.14
MPLADS-1034,Chhattisgarh,LOK_SABHA,Other Public Assets,5706949.11,5160584.3,270,79,39.55,CTR-172,1,29,1.13,0.4898,COASTAL,2025,6735911.83,43.58
MPLADS-1035,Gujarat,LOK_SABHA,Education,38600365.79,30995192.33,202,81,35.79,CTR-087,1,53,1.1216,0.0366,PLAIN,2023,36789262.14,32.28
MPLADS-1036,Uttar Pradesh,RAJYA_SABHA,Sanitation,22402616.55,23223802.34,256,352,100.0,CTR-156,10,13,0.9831,0.356,PLAIN,2025,25214101.05,40.22
MPLADS-1037,Punjab,LOK_SABHA,Community Halls,49890017.67,42937357.13,135,43,34.17,CTR-143,4,40,1.288,0.7515,PLAIN,2025,64925518.83,50.94
MPLADS-1038,Tripura,LOK_SABHA,Other Public Assets,40846369.44,38641388.19,193,5,1.76,CTR-134,8,36,1.2913,0.4643,COASTAL,2023,61907982.67,67.84
MPLADS-1039,Dadra and Nagar Haveli and Daman and Diu,LOK_SABHA,Drinking Water,31845676.29,26354393.28,163,0,0.0,CTR-193,9,37,1.2294,0.701,COASTAL,2024,40167472.52,74.25
MPLADS-1040,Mizoram,LOK_SABHA,Bridges,20783427.3,16981230.02,231,97,37.09,CTR-054,7,24,1.1554,0.4669,HILLY,2025,25562970.65,60.56
MPLADS-1041,Odisha,LOK_SABHA,Drinking Water,21183993.74,22054862.31,126,12,0.0,CTR-009,3,37,1.2539,0.9777,PLAIN,2024,33489894.48,47.5
MPLADS-1042,Goa,LOK_SABHA,Drinking Water,49320982.3,41662613.66,508,256,51.07,CTR-098,10,79,1.2693,0.3118,PLAIN,2023,63755817.34,73.47
MPLADS-1043,Jammu and Kashmir,RAJYA_SABHA,Healthcare,26812026.84,27005771.74,401,339,74.55,CTR-055,7,38,1.1672,0.2646,PLAIN,2024,35266865.61,60.44
MPLADS-1044,Maharashtra,LOK_SABHA,Sports Infrastructure,15555978.14,12732613.16,209,128,52.46,CTR-124,7,21,1.0333,0.8322,PLAIN,2025,14579563.01,77.66
MPLADS-1045,Bihar,RAJYA_SABHA,Roads,24759872.11,23768951.33,169,239,100.0,CTR-094,6,69,1.1926,0.9832,HILLY,2024,38082791.81,107.2
MPLADS-1046,Assam,RAJYA_SABHA,Electrification,41094067.49,35785294.55,526,671,100.0,CTR-192,10,93,1.3207,0.4182,PLAIN,2024,55320088.1,89.76
MPLADS-1047,Telangana,RAJYA_SABHA,Roads,4194521.29,3525345.21,488,591,87.01,CTR-041,2,50,1.1202,1.0,HILLY,2023,5217817.56,88.6
MPLADS-1048,Jharkhand,LOK_SABHA,Other Public Assets,36413787.89,34718546.15,398,153,45.93,CTR-096,4,68,1.0184,0.31,PLAIN,2025,38349081.66,53.41
MPLADS-1049,Puducherry,RAJYA_SABHA,Healthcare,28368692.25,26459766.93,176,133,72.27,CTR-080,10,12,1.3373,0.408,PLAIN,2024,41411839.84,70.04
MPLADS-1050,Delhi,RAJYA_SABHA,Community Halls,47686879.08,49928248.63,505,445,100.0,CTR-004,7,38,1.3336,0.2942,HILLY,2024,85134350.77,67.33
MPLADS-1051,Goa,LOK_SABHA,Drinking Water,2443580.18,2340337.13,529,20,0.0,CTR-145,15,88,1.1563,0.3308,HILLY,2024,3652410.51,144.71
MPLADS-1052,Himachal Pradesh,RAJYA_SABHA,Other Public Assets,40885525.07,36395308.91,319,442,100.0,CTR-027,6,63,1.1027,0.6464,PLAIN,2023,44775751.3,62.42
MPLADS-1053,Meghalaya,LOK_SABHA,Other Public Assets,13270494.28,11461821.02,193,172,89.93,CTR-111,4,24,1.0198,1.0,HILLY,2025,15312608.24,115.99
MPLADS-1054,Punjab,LOK_SABHA,Sports Infrastructure,13671457.77,12342038.1,173,179,97.33,CTR-110,11,43,1.3019,1.0,HILLY,2024,21863719.07,125.09
MPLADS-1055,Manipur,LOK_SABHA,Bridges,47437955.52,43377792.23,456,676,100.0,CTR-154,4,52,1.3489,0.4495,HILLY,2025,76876035.91,74.38
MPLADS-1056,Karnataka,LOK_SABHA,Roads,1550123.24,1271675.05,114,33,17.89,CTR-020,7,0,1.1773,0.394,COASTAL,2024,1814253.73,57.75
MPLADS-1057,Assam,LOK_SABHA,Sports Infrastructure,31123544.64,26593022.6,526,650,100.0,CTR-153,14,94,1.2086,0.8743,PLAIN,2025,38483240.65,131.15
MPLADS-1058,Gujarat,RAJYA_SABHA,Drinking Water,22604704.01,22671701.86,149,223,100.0,CTR-052,3,12,1.146,0.0734,COASTAL,2023,30213097.23,17.09
MPLADS-1059,Goa,RAJYA_SABHA,Healthcare,44309600.03,39478598.56,433,258,79.44,CTR-054,7,90,1.1383,0.479,COASTAL,2024,55632638.88,78.84
MPLADS-1060,Uttarakhand,LOK_SABHA,Roads,38938084.6,32572232.75,104,14,0.0,CTR-110,11,0,1.1126,0.6199,HILLY,2024,46632811.17,69.68
MPLADS-1061,Kerala,LOK_SABHA,Sports Infrastructure,37198681.68,37997175.28,254,202,75.78,CTR-002,12,86,1.2887,0.0518,PLAIN,2023,55788871.0,124.87
MPLADS-1062,Bihar,LOK_SABHA,Sanitation,31645297.43,31859839.19,277,191,88.18,CTR-043,11,33,1.026,0.5766,PLAIN,2024,37708387.6,50.27
MPLADS-1063,Chandigarh,LOK_SABHA,Sanitation,5531879.62,4546940.22,225,166,78.73,CTR-052,3,0,1.1445,0.8527,COASTAL,2025,6518114.55,66.16
MPLADS-1064,Tamil Nadu,LOK_SABHA,Sanitation,24683012.43,24265266.14,173,64,52.51,CTR-091,6,23,1.2545,0.5321,COASTAL,2025,37336863.87,52.98
MPLADS-1065,Rajasthan,RAJYA_SABHA,Electrification,17916179.93,17786381.33,323,232,76.57,CTR-044,5,34,1.0639,1.0,DESERT,2024,22761493.78,94.35
MPLADS-1066,Lakshadweep,RAJYA_SABHA,Community Halls,43465837.5,41481076.7,444,21,32.11,CTR-150,0,49,1.2673,0.482,COASTAL,2023,63080200.05,45.4
MPLADS-1067,Lakshadweep,RAJYA_SABHA,Drinking Water,45627248.17,46759663.2,462,336,80.89,CTR-136,4,47,1.2588,0.4047,COASTAL,2025,71239526.21,52.47
MPLADS-1068,Sikkim,LOK_SABHA,Drinking Water,527613.67,481852.88,162,182,88.87,CTR-112,12,37,1.2715,1.0,HILLY,2023,832710.99,136.77
MPLADS-1069,West Bengal,RAJYA_SABHA,Bridges,41798186.65,40862170.69,162,35,0.47,CTR-003,10,53,1.0367,0.7441,PLAIN,2023,50691823.81,99.22
MPLADS-1070,Punjab,LOK_SABHA,Bridges,10511198.68,10513232.69,357,100,0.0,CTR-028,13,42,1.0275,0.061,PLAIN,2025,11777690.83,100.26
MPLADS-1071,Karnataka,LOK_SABHA,Education,42943788.74,40688169.28,490,720,100.0,CTR-022,5,79,0.9598,0.1275,PLAIN,2024,38324556.61,66.59
MPLADS-1072,Karnataka,RAJYA_SABHA,Education,21120253.71,21927242.68,499,492,100.0,CTR-130,10,74,1.2519,0.5049,DESERT,2023,36417498.93,134.18
MPLADS-1073,Meghalaya,RAJYA_SABHA,Other Public Assets,36340854.73,35816614.79,526,272,82.18,CTR-171,1,95,1.1342,0.8797,PLAIN,2025,46647511.19,88.09
MPLADS-1074,Assam,RAJYA_SABHA,Education,6794936.44,5752561.48,324,367,98.25,CTR-061,14,88,0.9574,0.8429,DESERT,2025,6990768.26,130.24
MPLADS-1075,Manipur,LOK_SABHA,Community Halls,13873010.52,13911114.32,387,536,100.0,CTR-159,8,48,1.107,0.7374,DESERT,2024,19518757.99,86.6
MPLADS-1076,Telangana,LOK_SABHA,Roads,21006316.95,19583291.92,527,153,18.21,CTR-144,6,49,1.0783,1.0,HILLY,2024,27307234.38,108.57
MPLADS-1077,Maharashtra,LOK_SABHA,Bridges,1356918.22,1278164.44,115,35,31.43,CTR-092,12,19,1.0218,0.6288,DESERT,2023,1615128.57,76.81
MPLADS-1078,Andaman and Nicobar Islands,LOK_SABHA,Roads,20294218.24,21164327.94,314,373,88.12,CTR-052,3,43,0.9739,0.1182,COASTAL,2024,22346401.81,70.3
MPLADS-1079,Uttarakhand,LOK_SABHA,Community Halls,16439367.33,13263755.28,223,225,100.0,CTR-143,4,19,1.1392,1.0,HILLY,2024,19560619.88,74.84
MPLADS-1080,Karnataka,LOK_SABHA,Roads,1817785.71,1481832.29,152,210,100.0,CTR-157,2,34,1.0722,0.7852,COASTAL,2024,1849403.24,73.85
MPLADS-1081,Chandigarh,LOK_SABHA,Drinking Water,46541743.74,41813897.69,194,94,41.28,CTR-087,1,24,1.0837,0.2505,COASTAL,2024,48375254.76,23.71
MPLADS-1082,Delhi,LOK_SABHA,Other Public Assets,35723096.77,35490839.99,381,194,58.34,CTR-126,9,41,1.3014,0.3559,DESERT,2025,59881175.7,61.26
MPLADS-1083,Lakshadweep,RAJYA_SABHA,Drinking Water,40864191.8,40069984.13,233,43,16.32,CTR-039,4,44,1.2714,0.6523,COASTAL,2025,62055142.81,79.93
MPLADS-1084,Mizoram,RAJYA_SABHA,Other Public Assets,4345492.63,4485438.34,161,151,85.82,CTR-009,3,0,1.1563,0.2595,HILLY,2025,6471217.37,40.06
MPLADS-1085,Arunachal Pradesh,LOK_SABHA,Sports Infrastructure,41424213.04,38918012.4,149,129,89.18,CTR-010,1,0,0.9853,0.6656,HILLY,2025,46141880.08,48.85
MPLADS-1086,Rajasthan,LOK_SABHA,Drinking Water,5573497.09,5818592.39,296,56,19.86,CTR-021,8,37,1.3145,0.2521,PLAIN,2023,8844588.63,55.92
MPLADS-1087,Maharashtra,RAJYA_SABHA,Education,572926.85,492103.38,429,76,25.06,CTR-020,7,77,1.0735,0.6404,PLAIN,2023,591049.85,115.82
MPLADS-1088,Nagaland,LOK_SABHA,Roads,7328845.66,6186617.6,140,123,96.77,CTR-033,1,38,0.9724,0.2828,PLAIN,2025,5803516.88,31.87
MPLADS-1089,Telangana,LOK_SABHA,Roads,7352546.13,6052088.29,231,283,97.25,CTR-140,6,23,0.9986,0.9956,DESERT,2024,7616865.65,73.49
MPLADS-1090,Chhattisgarh,RAJYA_SABHA,Sanitation,39073306.9,35031494.2,119,43,26.56,CTR-122,10,28,0.9666,0.2878,PLAIN,2025,35894462.32,65.35
MPLADS-1091,Himachal Pradesh,RAJYA_SABHA,Drinking Water,15994384.12,15446995.01,329,69,25.26,CTR-123,10,56,1.2753,0.4557,HILLY,2024,25957729.31,129.81
MPLADS-1092,Chhattisgarh,RAJYA_SABHA,Sports Infrastructure,31388404.69,27189223.65,458,28,35.49,CTR-041,2,65,1.3114,0.9355,HILLY,2025,47726638.21,89.09
MPLADS-1093,Karnataka,LOK_SABHA,Sanitation,41462076.13,33837096.1,183,269,96.83,CTR-168,2,0,1.1604,0.8345,DESERT,2024,49736889.44,45.36
MPLADS-1094,Punjab,LOK_SABHA,Sanitation,41419743.59,42201894.25,524,174,24.12,CTR-137,9,41,1.0844,0.0694,PLAIN,2024,50539812.42,92.84
MPLADS-1095,Mizoram,RAJYA_SABHA,Education,31352139.78,31481341.81,428,173,38.89,CTR-161,15,55,1.2221,0.6612,HILLY,2024,52986636.29,125.27
MPLADS-1096,Maharashtra,LOK_SABHA,Healthcare,6328409.85,6489109.61,464,48,0.0,CTR-028,13,89,1.2304,0.1517,PLAIN,2024,9502606.47,116.98
MPLADS-1097,Ladakh,RAJYA_SABHA,Healthcare,43981097.7,37890268.35,457,547,87.96,CTR-017,8,13,0.9971,0.332,HILLY,2024,46393065.02,65.93
MPLADS-1098,Telangana,LOK_SABHA,Drinking Water,23830939.27,23357182.74,329,470,100.0,CTR-085,10,37,1.0604,0.8749,PLAIN,2024,28121449.92,68.76
MPLADS-1099,Haryana,LOK_SABHA,Community Halls,33456164.44,32067110.81,150,90,60.99,CTR-200,15,0,1.2285,0.2722,PLAIN,2024,44474313.53,91.93
MPLADS-1100,West Bengal,RAJYA_SABHA,Bridges,5722673.15,5445413.03,105,66,56.86,CTR-012,15,58,1.3042,0.6042,PLAIN,2023,8486476.57,133.35
MPLADS-1101,Karnataka,LOK_SABHA,Education,21013693.28,17035111.29,504,666,100.0,CTR-051,12,73,0.9988,0.6983,PLAIN,2023,20324231.52,91.86
MPLADS-1102,Arunachal Pradesh,LOK_SABHA,Roads,32251167.53,30989960.0,403,313,100.0,CTR-176,7,49,1.1689,0.0902,PLAIN,2025,40277187.02,46.64
MPLADS-1103,Odisha,LOK_SABHA,Drinking Water,20103922.0,19311136.89,194,243,70.29,CTR-157,2,75,1.2275,0.2035,HILLY,2025,30474408.04,111.38
MPLADS-1104,Jammu and Kashmir,LOK_SABHA,Sports Infrastructure,4847593.51,4766425.94,217,125,57.09,CTR-061,14,42,1.3345,0.6053,HILLY,2023,8751150.27,107.89
MPLADS-1105,Puducherry,LOK_SABHA,Healthcare,9090469.93,9009992.76,470,424,100.0,CTR-154,4,47,1.2516,0.2152,DESERT,2024,13792552.2,43.09
MPLADS-1106,Odisha,RAJYA_SABHA,Education,15070673.67,14813107.08,459,195,52.5,CTR-172,1,77,1.258,0.0322,COASTAL,2024,22490347.35,63.91
MPLADS-1107,Mizoram,LOK_SABHA,Drinking Water,3091506.54,2804826.76,486,173,22.06,CTR-019,13,47,1.2616,0.8212,HILLY,2024,4837837.88,116.14
MPLADS-1108,Delhi,RAJYA_SABHA,Other Public Assets,41525416.0,38878340.59,133,71,36.37,CTR-047,7,0,1.1485,0.0278,PLAIN,2024,48640392.83,25.74
MPLADS-1109,Manipur,RAJYA_SABHA,Sports Infrastructure,31565616.05,27245203.19,521,438,100.0,CTR-136,4,46,1.1236,1.0,HILLY,2024,40505366.97,112.12
MPLADS-1110,Manipur,LOK_SABHA,Community Halls,13032357.82,10438440.08,293,183,88.56,CTR-044,5,48,1.075,0.5428,PLAIN,2023,11935871.51,44.08
MPLADS-1111,Andhra Pradesh,LOK_SABHA,Drinking Water,49655086.54,49193328.66,164,65,2.43,CTR-194,5,33,1.2203,0.7401,DESERT,2024,74481393.18,98.15
MPLADS-1112,Tripura,LOK_SABHA,Bridges,3255148.91,3312549.98,399,315,85.39,CTR-195,15,47,1.2466,0.2803,COASTAL,2024,5128033.87,100.13
MPLADS-1113,Dadra and Nagar Haveli and Daman and Diu,LOK_SABHA,Drinking Water,43914306.76,40186529.74,344,484,91.41,CTR-022,5,49,1.2468,0.4997,PLAIN,2024,57921250.38,53.75
MPLADS-1114,Himachal Pradesh,LOK_SABHA,Sanitation,28322148.88,24609332.4,317,33,13.11,CTR-037,13,44,1.2169,0.7746,HILLY,2025,40752058.26,118.28
MPLADS-1115,Jharkhand,LOK_SABHA,Sanitation,12241869.0,12657634.38,367,134,36.41,CTR-181,15,66,1.1818,0.464,DESERT,2024,19299846.29,88.58
MPLADS-1116,Kerala,RAJYA_SABHA,Bridges,28521370.71,25470625.7,502,158,17.32,CTR-059,11,86,1.0933,0.8756,COASTAL,2024,35302188.52,147.08
MPLADS-1117,Meghalaya,RAJYA_SABHA,Healthcare,23133936.18,22371905.15,489,215,70.14,CTR-194,5,92,1.1961,0.3679,HILLY,2025,34376755.27,85.7
MPLADS-1118,Uttar Pradesh,LOK_SABHA,Sports Infrastructure,30306619.76,28172862.84,508,676,100.0,CTR-021,8,58,1.0365,0.4024,PLAIN,2025,31014553.81,67.42
MPLADS-1119,Nagaland,RAJYA_SABHA,Other Public Assets,44243396.68,42812505.07,420,402,99.89,CTR-145,15,48,1.1469,0.5133,HILLY,2024,65960930.67,134.65
MPLADS-1120,Assam,LOK_SABHA,Roads,36859239.22,29952848.35,486,364,65.64,CTR-050,12,87,1.0457,0.8792,PLAIN,2025,35976049.36,141.9
MPLADS-1121,Mizoram,LOK_SABHA,Electrification,22291634.09,19686334.49,395,246,60.75,CTR-192,10,53,1.3297,1.0,HILLY,2024,35988303.09,123.81
MPLADS-1122,Kerala,RAJYA_SABHA,Bridges,40833534.81,36116488.24,225,275,75.92,CTR-124,7,96,1.0947,0.237,COASTAL,2025,45988190.44,94.13
MPLADS-1123,Meghalaya,LOK_SABHA,Community Halls,22768248.74,20135566.48,212,99,27.52,CTR-044,5,87,1.271,0.6497,HILLY,2024,33576539.25,116.1
MPLADS-1124,Jharkhand,LOK_SABHA,Healthcare,3780358.09,3880254.01,196,50,43.2,CTR-178,2,68,1.1573,0.5656,DESERT,2025,5469479.22,82.51
MPLADS-1125,Chandigarh,LOK_SABHA,Sports Infrastructure,17448992.82,14257859.59,496,511,87.53,CTR-171,1,47,1.1183,0.4086,PLAIN,2024,18308883.26,71.32
MPLADS-1126,Andaman and Nicobar Islands,LOK_SABHA,Electrification,10350874.0,9213470.88,250,343,95.43,CTR-063,5,47,1.1521,0.4905,COASTAL,2025,12818784.84,62.18
MPLADS-1127,Jharkhand,LOK_SABHA,Other Public Assets,5296909.53,4266744.44,229,315,100.0,CTR-063,5,0,1.1989,0.9068,PLAIN,2024,5965085.88,37.44
MPLADS-1128,Uttarakhand,RAJYA_SABHA,Education,19971828.69,16003101.83,410,521,80.33,CTR-019,13,60,0.9892,0.9456,PLAIN,2025,18759939.83,137.98
